date,nn_signal,tda_turbulence,tda_regime_multiplier,has_position,blocked_reason,position_size_if_traded,portfolio_value,num_trades_so_far
2024-01-02,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-03,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-04,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-05,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-08,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-09,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-10,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-11,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-12,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-16,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-17,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-18,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-19,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-22,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-23,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-24,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-25,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-26,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-29,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-30,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-01-31,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-01,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-02,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-05,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-06,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-07,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-08,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-09,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-12,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-13,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-14,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-15,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-16,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-20,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-21,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-22,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-23,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-26,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-27,0.500000,0.500000,1.000000,False,WARMING_UP,0.00,20000.00,0
2024-02-28,0.431946,0.018607,0.988836,False,NN_SIGNAL_TOO_HIGH_SELL,0.00,20000.00,0
2024-02-29,0.220672,0.018322,0.989007,False,NN_SIGNAL_TOO_HIGH_SELL,0.00,20000.00,0
