timestamp,calculation_type,ticker,account_balance,entry_price,stop_price,target_price,atr,volatility,kelly_fraction,position_size,position_value,risk_amount,portfolio_heat,notes
2026-01-14T20:48:13.063401,position_size,QQQ,20000.0,430.51519775390625,419.8954,,,5.30992349609012,0.25,4,1722.060791015625,42.47919101562502,,"Kelly:0.2500, MaxPct:0.1"
2026-01-14T20:48:15.910126,position_size,QQQ,20000.0,439.5027160644531,426.6887,,,6.407008001547764,0.25,4,1758.0108642578125,51.25606425781257,,"Kelly:0.2500, MaxPct:0.1"
2026-01-14T20:48:17.796781,position_size,QQQ,20000.0,437.8488464355469,427.7968,,,5.025999609795666,0.25,4,1751.3953857421875,40.208185742187425,,"Kelly:0.2500, MaxPct:0.1"
2026-01-14T20:48:17.981379,portfolio_heat_check,,20000.0,,,,,,0.25,,,,0.0020104092871093713,"Can open: True, Max heat: 0.2"
2026-01-14T20:48:17.981496,position_size,QQQ,20000.0,431.1537780761719,420.2617,,,5.446052805834602,0.25,4,1724.6151123046875,43.568312304687424,,"Kelly:0.2500, MaxPct:0.1"
2026-01-14T20:48:18.171020,portfolio_heat_check,,20000.0,,,,,,0.25,,,,0.0020104092871093713,"Can open: True, Max heat: 0.2"
2026-01-14T20:48:18.171204,position_size,QQQ,20000.0,436.2344665527344,425.6515,,,5.291493992666419,0.25,4,1744.9378662109375,42.331866210937505,,"Kelly:0.2500, MaxPct:0.1"
2026-01-14T20:48:18.356398,portfolio_heat_check,,20000.0,,,,,,0.25,,,,0.0020104092871093713,"Can open: True, Max heat: 0.2"
2026-01-14T20:48:18.356512,position_size,QQQ,20000.0,436.36322021484375,425.851,,,5.256120976545946,0.25,4,1745.452880859375,42.048880859375004,,"Kelly:0.2500, MaxPct:0.1"
2026-01-14T20:48:18.570349,portfolio_heat_check,,20000.0,,,,,,0.25,,,,0.0020104092871093713,"Can open: True, Max heat: 0.2"
2026-01-14T20:48:18.570461,position_size,QQQ,20000.0,437.9775695800781,427.4441,,,5.26672965095662,0.25,4,1751.9102783203125,42.13387832031253,,"Kelly:0.2500, MaxPct:0.1"
